addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
4, 224, 4, 1533, 195, 569, 383.25, 34506.1875, 181386.75, 4, 224, 0, 0, 0, 0, 0, 0, 0, 8, 448, 4, 1533, 195, 569, 383.25, 34506.1875, 181386.75
24, 1256, 19, 3374, 74, 594, 177.57894736842104, 25618.243767313023, 57152.52631578947, 15, 788, 33, 52944, 83, 5724, 1604.3636363636363, 3459350.413223141, 6033333.090909091, 39, 2044, 52, 56318, 74, 5724, 1083.0384615384614, 3045137.06934256, 3849728.653846154
5, 268, 9, 1930, 80, 569, 214.44444444444446, 25943.802469135804, 71930.22222222222, 7, 372, 6, 8100, 83, 3833, 1350.0, 2006912.3333333333, 3829412.3333333335, 12, 640, 15, 10030, 80, 3833, 668.6666666666666, 1473718.4126984128, 1574923.0666666667
21, 1092, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 20, 48987, 167, 5724, 2449.35, 3311222.4274999998, 9310537.85, 21, 1092, 21, 49187, 167, 5724, 2342.2380952380954, 3350855.3230220107, 8869083.666666666
12, 624, 2, 286, 91, 195, 143.0, 2704.0, 23153.0, 1, 52, 12, 26654, 83, 5724, 2221.1666666666665, 3220250.9722222215, 8153832.333333333, 13, 676, 14, 26940, 83, 5724, 1924.2857142857142, 3279406.0591715975, 6992306.714285715
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
0, 0, 2, 268, 68, 200, 134.0, 4356.0, 22312.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 268, 68, 200, 134.0, 4356.0, 22312.0
2, 112, 4, 924, 68, 569, 231.0, 40357.5, 93718.5, 1, 60, 1, 84, 84, 84, 84.0, 0.0, 7056.0, 3, 172, 5, 1008, 68, 569, 201.6, 31707.0, 76386.0
63, 3292, 17, 7714, 83, 1555, 453.7647058823529, 194595.23875432526, 400497.64705882355, 16, 848, 69, 234667, 83, 8740, 3400.9710144927535, 4270016.607855492, 15836620.449275363, 79, 4140, 86, 242381, 83, 8740, 2818.3837209302324, 4671210.339479709, 12785293.84883721
13, 676, 10, 4794, 68, 1544, 479.4, 275155.83999999997, 504980.2, 7, 364, 15, 171735, 74, 18876, 11449.0, 63255926.666666664, 194335527.66666666, 20, 1040, 25, 176529, 68, 18876, 7061.16, 70073007.24000001, 116803308.68
2, 104, 1, 91, 91, 91, 91.0, 0.0, 8281.0, 1, 52, 4, 1444, 83, 1122, 361.0, 193668.5, 323989.5, 3, 156, 5, 1535, 83, 1122, 307.0, 179349.77777777778, 260847.8
29, 1508, 3, 3143, 195, 1544, 1047.6666666666667, 366786.88888888893, 1464392.3333333333, 2, 104, 29, 334954, 1500, 23220, 11550.137931034482, 54965677.22235433, 188371363.44827586, 31, 1612, 32, 338097, 195, 23220, 10565.53125, 57438381.90701424, 170848834.90625
43, 2236, 1, 1526, 1526, 1526, 1526.0, 0.0, 2328676.0, 1, 52, 46, 344148, 1500, 23220, 7481.478260869565, 54387257.98865785, 110359774.95652173, 44, 2288, 47, 345674, 1500, 23220, 7354.765957446809, 54179721.32177129, 108061240.9361702
54, 2816, 8, 5302, 84, 1527, 662.75, 297347.4375, 736585.0, 8, 424, 70, 674329, 83, 23220, 9633.271428571428, 61546773.68346939, 154346692.1, 62, 3240, 78, 679631, 83, 23220, 8713.21794871795, 62350616.11358655, 138591809.32051283
5, 260, 11, 1948, 68, 895, 177.0909090909091, 52705.71900826446, 84066.90909090909, 8, 416, 12, 5205, 83, 2921, 433.75, 613286.3541666666, 801425.4166666666, 13, 676, 23, 7153, 68, 2921, 311.0, 451300.3640816326, 458340.9130434783
20, 1040, 3, 1602, 91, 1387, 534.0, 363986.0, 649142.0, 2, 104, 21, 223888, 131, 26116, 10661.333333333334, 95177541.55555555, 208841570.0, 22, 1144, 24, 225490, 91, 26116, 9395.416666666666, 95238328.1906173, 182817516.5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 144, 6, 723, 68, 201, 120.5, 2709.9166666666665, 17230.166666666668, 4, 208, 5, 688, 83, 183, 137.6, 1766.2400000000002, 20700.0, 7, 352, 11, 1411, 68, 201, 128.27272727272728, 2188.65234375, 18807.363636363636
3, 156, 16, 27661, 91, 4156, 1728.8125, 2011296.90234375, 5000089.5625, 27, 1404, 7, 820, 83, 174, 117.14285714285714, 939.265306122449, 14661.714285714286, 30, 1560, 23, 28481, 83, 4156, 1238.304347826087, 1719613.6766666668, 3482785.434782609
2, 92, 1, 91, 91, 91, 91.0, 0.0, 8281.0, 1, 52, 3, 306, 83, 132, 102.0, 460.6666666666667, 10864.666666666666, 3, 144, 4, 397, 83, 132, 99.25, 409.6734693877552, 10218.75
29, 1508, 2, 1597, 68, 1529, 798.5, 533630.25, 1171232.5, 1, 52, 29, 336290, 1500, 29012, 11596.206896551725, 74194919.81926279, 208666934.20689654, 30, 1560, 31, 337887, 68, 29012, 10899.58064516129, 75496347.66972224, 195280114.7419355
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
