addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0
12, 640, 15, 3509, 83, 610, 233.93333333333334, 38003.26222222222, 92728.06666666667, 14, 744, 10, 7923, 83, 2710, 792.3, 950010.8099999999, 1577750.1, 26, 1384, 25, 11432, 83, 2710, 457.28, 635503.0857142857, 686736.88
20, 1036, 11, 1751, 68, 569, 159.1818181818182, 19533.785123966944, 44872.63636363636, 6, 320, 24, 44837, 83, 5724, 1868.2083333333333, 3411085.664930556, 6901288.041666667, 26, 1356, 35, 46588, 68, 5724, 1331.0857142857142, 3221786.684860672, 4746414.628571428
9, 472, 5, 1610, 116, 569, 322.0, 41185.2, 144869.2, 6, 328, 5, 10968, 217, 3695, 2193.6, 2228119.8400000003, 7040000.8, 15, 800, 10, 12578, 116, 3695, 1257.8, 2277560.862222222, 3592435.0
2, 104, 3, 1987, 68, 1719, 662.3333333333334, 561176.2222222221, 999861.6666666666, 1, 52, 3, 1118, 103, 912, 372.6666666666667, 145440.22222222222, 284320.6666666667, 3, 156, 6, 3105, 68, 1719, 517.5, 302664.8395061728, 642091.1666666666
0, 0, 2, 240, 68, 172, 120.0, 2704.0, 17104.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 240, 68, 172, 120.0, 2704.0, 17104.0
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0
0, 0, 1, 68, 68, 68, 68.0, 0.0, 4624.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68, 68, 68, 68.0, 0.0, 4624.0
0, 0, 2, 1937, 172, 1765, 968.5, 634412.25, 1572404.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1937, 172, 1765, 968.5, 634412.25, 1572404.5
1, 52, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 1, 52, 1, 7152, 7152, 7152, 7152.0, 0.0, 51151104.0, 2, 104, 2, 7352, 200, 7152, 3676.0, 10740067.555555556, 25595552.0
4, 216, 8, 3257, 68, 2041, 407.125, 405239.359375, 570990.125, 3, 164, 5, 4452, 106, 3545, 890.4, 1773293.44, 2566105.6, 7, 380, 13, 7709, 68, 3545, 593.0, 1222937.237654321, 1338342.2307692308
6, 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14646, 1354, 2948, 2441.0, 515874.3333333333, 6474355.333333333, 6, 312, 6, 14646, 1354, 2948, 2441.0, 515874.3333333333, 6474355.333333333
12, 624, 1, 68, 68, 68, 68.0, 0.0, 4624.0, 0, 0, 15, 52571, 1163, 8740, 3504.733333333333, 4235651.262222222, 16518807.0, 12, 624, 16, 52639, 68, 8740, 3289.9375, 4467731.273673258, 15486670.5625
1, 60, 3, 392, 78, 157, 130.66666666666666, 1386.888888888889, 18460.666666666668, 0, 0, 1, 275, 275, 275, 275.0, 0.0, 75625.0, 1, 60, 4, 667, 78, 275, 166.75, 5831.839999999999, 32751.75
5, 260, 8, 14619, 178, 2948, 1827.375, 1141841.984375, 4481141.375, 5, 268, 4, 11695, 2580, 3415, 2923.75, 97394.1875, 8645708.25, 10, 528, 12, 26314, 178, 3415, 2192.8333333333335, 920127.62109375, 5869330.333333333
2, 104, 7, 10981, 172, 2786, 1568.7142857142858, 1284544.7755102043, 3745409.285714286, 4, 208, 3, 3457, 103, 3098, 1152.3333333333333, 1896710.8888888888, 3224583.0, 6, 312, 10, 14438, 103, 3098, 1443.8, 1610169.7869822483, 3589161.4
3, 156, 4, 10494, 2145, 2948, 2623.5, 117158.25, 6999910.5, 6, 312, 3, 7085, 557, 4051, 2361.6666666666665, 2041323.5555555553, 7618793.0, 9, 468, 7, 17579, 557, 4051, 2511.285714285714, 1288111.0399999998, 7265145.857142857
41, 2164, 12, 7952, 116, 1033, 662.6666666666666, 115880.55555555555, 555007.6666666666, 6, 344, 44, 231961, 131, 26116, 5271.840909090909, 50343969.95196282, 78136276.52272727, 47, 2508, 56, 239913, 116, 26116, 4284.160714285715, 46560017.0724, 61511718.91071428
259, 13476, 34, 40893, 116, 2948, 1202.735294117647, 661153.5475778547, 2107725.7352941176, 9, 476, 364, 3888777, 292, 26116, 10683.453296703297, 68730809.01155508, 182866983.3543956, 268, 13952, 398, 3929670, 116, 26116, 9873.542713567838, 69525203.64392811, 167425237.7286432
234, 12168, 29, 33122, 195, 2948, 1142.1379310344828, 331587.63614744355, 1636066.6896551724, 1, 52, 388, 4496650, 460, 26116, 11589.30412371134, 55450438.64462218, 189762408.71649486, 235, 12220, 417, 4529772, 195, 26116, 10862.762589928057, 57255015.364848584, 176679281.81294963
199, 10360, 21, 21763, 1032, 1037, 1036.3333333333333, 1.7460317460317458, 1073988.5238095238, 3, 156, 442, 4385827, 460, 31908, 9922.68552036199, 60037823.16580844, 158497511.10180995, 202, 10516, 463, 4407590, 460, 31908, 9519.63282937365, 60434550.16351882, 151357351.33045357
148, 7740, 18, 17667, 85, 2722, 981.5, 745251.5833333334, 1708593.8333333333, 5, 268, 377, 4383784, 101, 26116, 11628.074270557028, 60420995.310133755, 195633106.55172414, 153, 8008, 395, 4401451, 85, 26116, 11142.913924050634, 61610835.76264296, 186796040.1493671
190, 9880, 48, 64312, 103, 2948, 1339.8333333333333, 832587.7638888889, 2627741.125, 13, 700, 390, 4087276, 197, 29012, 10480.194871794873, 69991149.00305063, 179825633.55384615, 203, 10580, 438, 4151588, 103, 29012, 9478.511415525114, 70544446.93457256, 160406686.43835616
355, 18460, 25, 25868, 1032, 1037, 1034.72, 1.1616000000000002, 1070646.64, 4, 208, 593, 6457765, 461, 26116, 10889.991568296797, 54292671.20228978, 172884587.5598651, 359, 18668, 618, 6483633, 461, 26116, 10491.315533980582, 55135541.17338109, 165934185.41909385
