addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
1, 52, 1, 157, 157, 157, 157.0, 0.0, 24649.0, 0, 0, 1, 492, 492, 492, 492.0, 0.0, 242064.0, 1, 52, 2, 649, 157, 492, 324.5, 24938.88888888889, 133356.5
2, 104, 2, 527, 195, 332, 263.5, 4692.25, 74124.5, 0, 0, 2, 168, 68, 100, 84.0, 256.0, 7312.0, 2, 104, 4, 695, 68, 332, 173.75, 8894.805555555555, 40718.25
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 64, 1, 157, 157, 157, 157.0, 0.0, 24649.0, 0, 0, 1, 68, 68, 68, 68.0, 0.0, 4624.0, 1, 64, 2, 225, 68, 157, 112.5, 1760.2222222222224, 14636.5
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
1, 64, 1, 68, 68, 68, 68.0, 0.0, 4624.0, 0, 0, 1, 68, 68, 68, 68.0, 0.0, 4624.0, 1, 64, 2, 136, 68, 68, 68.0, 0.0, 4624.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
0, 0, 2, 294, 68, 226, 147.0, 6241.0, 27850.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 294, 68, 226, 147.0, 6241.0, 27850.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 164, 4, 1035, 71, 569, 258.75, 34755.1875, 101706.75, 2, 112, 1, 2708, 2708, 2708, 2708.0, 0.0, 7333264.0, 5, 276, 5, 3743, 71, 2708, 748.6, 1356242.4722222222, 1548018.2
14, 748, 14, 2941, 83, 613, 210.07142857142858, 32989.63775510205, 77119.64285714286, 14, 736, 21, 15434, 68, 2888, 734.952380952381, 850481.1882086169, 1390636.1904761905, 28, 1484, 35, 18375, 68, 2888, 525.0, 697764.5532525509, 865229.5714285715
13, 684, 6, 1022, 74, 569, 170.33333333333334, 31911.55555555555, 60925.0, 3, 164, 15, 35070, 83, 5724, 2338.0, 4482829.333333333, 9949073.333333334, 16, 848, 21, 36092, 74, 5724, 1718.6666666666667, 4393617.867283951, 7123888.095238095
10, 528, 8, 1734, 68, 569, 216.75, 29865.1875, 76845.75, 9, 476, 14, 23759, 83, 5724, 1697.0714285714287, 2928691.6377551025, 5808743.071428572, 19, 1004, 22, 25493, 68, 5724, 1158.7727272727273, 2663260.098765432, 3724416.772727273
14, 728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 32177, 431, 5724, 2475.153846153846, 3643882.5917159766, 9770269.153846154, 14, 728, 13, 32177, 431, 5724, 2475.153846153846, 3643882.591715976, 9770269.153846154
9, 468, 1, 91, 91, 91, 91.0, 0.0, 8281.0, 1, 52, 9, 27097, 201, 5724, 3010.777777777778, 4208083.283950618, 13272866.111111112, 10, 520, 10, 27188, 91, 5724, 2718.8, 4411679.567867036, 11946407.6
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66, 3456, 17, 7582, 68, 1492, 446.0, 183105.0588235294, 382021.0588235294, 14, 752, 65, 214289, 83, 7292, 3296.753846153846, 2803711.4471005923, 13672297.36923077, 80, 4208, 82, 221871, 68, 7292, 2705.743902439024, 3331793.5930399373, 10916996.18292683
10, 520, 5, 3308, 91, 1481, 661.6, 388629.84, 826344.4, 3, 156, 12, 99285, 83, 17428, 8273.75, 54948481.854166664, 123403420.91666667, 13, 676, 17, 102593, 83, 17428, 6034.882352941177, 53809600.489892974, 87351339.58823529
18, 936, 1, 91, 91, 91, 91.0, 0.0, 8281.0, 1, 52, 27, 177368, 229, 23220, 6569.185185185185, 25366063.706447188, 68520257.7037037, 19, 988, 28, 177459, 91, 23220, 6337.821428571428, 25654023.439999994, 66073401.39285714
15, 756, 2, 1549, 68, 1481, 774.5, 499142.25, 1098992.5, 1, 52, 21, 203595, 1500, 21772, 9695.0, 59914491.61904762, 153907516.6190476, 16, 808, 23, 205144, 68, 21772, 8919.304347826086, 60666442.11311983, 140619818.86956522
45, 2340, 2, 2809, 1346, 1463, 1404.5, 3422.25, 1976042.5, 2, 104, 55, 538149, 713, 23220, 9784.527272727273, 63655063.88561985, 159392037.83636364, 47, 2444, 57, 540958, 713, 23220, 9490.491228070176, 63750049.60259885, 153868669.57894737
1, 52, 2, 1521, 68, 1453, 760.5, 479556.25, 1057916.5, 1, 52, 2, 28409, 8085, 20324, 14204.5, 37448280.25, 239216100.5, 2, 104, 4, 29930, 68, 20324, 7482.5, 65290069.13888889, 120137008.5
65, 3380, 12, 3820, 83, 1464, 318.3333333333333, 158622.22222222222, 259958.33333333334, 8, 416, 81, 710882, 83, 18876, 8776.32098765432, 41521838.53894224, 118545648.61728396, 73, 3796, 93, 714702, 83, 18876, 7684.967741935484, 43262577.45963801, 103282978.90322581
20, 1040, 5, 1916, 87, 1348, 383.2, 234958.55999999997, 381800.8, 1, 52, 29, 301100, 83, 23220, 10382.758620689656, 71002582.39001189, 178804258.96551725, 21, 1092, 34, 303016, 83, 23220, 8912.235294117647, 72692085.67800452, 152565662.17647058
0, 0, 2, 252, 91, 161, 126.0, 1225.0, 17101.0, 2, 104, 1, 131, 131, 131, 131.0, 0.0, 17161.0, 2, 104, 3, 383, 91, 161, 127.66666666666667, 618.75, 17121.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 390, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 390, 195, 195, 195.0, 0.0, 38025.0
0, 0, 2, 268, 68, 200, 134.0, 4356.0, 22312.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 268, 68, 200, 134.0, 4356.0, 22312.0
