addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
2, 104, 0, 0, 0, 0, 0, 0, 0, 2, 104, 0, 0, 0, 0, 0, 0, 0, 4, 208, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19, 1012, 7, 3323, 72, 1611, 474.7142857142857, 273158.7755102041, 498512.4285714286, 8, 440, 7, 2306, 164, 706, 329.42857142857144, 28081.67346938776, 136604.85714285713, 27, 1452, 14, 5629, 72, 1611, 402.07142857142856, 114464.69387755098, 317558.64285714284
24, 1272, 16, 3644, 72, 651, 227.75, 41535.6875, 93405.75, 11, 588, 30, 52782, 83, 5724, 1759.4, 3476046.173333333, 6571534.533333333, 35, 1860, 46, 56426, 72, 5724, 1226.6521739130435, 3142900.207756233, 4318272.347826087
26, 1376, 34, 11692, 81, 2161, 343.88235294117646, 146579.8685121107, 264834.9411764706, 18, 960, 43, 20215, 83, 3349, 470.1162790697674, 391853.0795024338, 612862.3953488372, 44, 2336, 77, 31907, 81, 3349, 414.3766233766234, 325594.69416666677, 459187.93506493507
30, 1584, 36, 13187, 72, 1712, 366.30555555555554, 126515.93441358022, 260695.69444444444, 24, 1272, 43, 14043, 83, 1427, 326.5813953488372, 123094.4294213088, 229749.83720930232, 54, 2856, 79, 27230, 72, 1712, 344.6835443037975, 124432.29326793872, 243851.74683544305
18, 952, 16, 3785, 74, 639, 236.5625, 42148.12109375, 98109.9375, 15, 796, 28, 19367, 83, 5844, 691.6785714285714, 1636876.5038265309, 2115295.75, 33, 1748, 44, 23152, 74, 5844, 526.1818181818181, 1318292.7760416665, 1381773.6363636365
448, 23320, 30, 17565, 73, 1816, 585.5, 198464.98333333334, 541275.2333333333, 17, 916, 778, 7799023, 83, 27564, 10024.45115681234, 57693700.12422103, 158183321.11953726, 465, 24236, 808, 7816588, 73, 27564, 9673.99504950495, 58259525.64296556, 152330274.86138615
16, 840, 6, 3642, 79, 1255, 607.0, 152788.33333333334, 521237.3333333333, 1, 52, 48, 431051, 103, 23220, 8980.229166666666, 63680150.009982646, 144324665.89583334, 17, 892, 54, 434693, 79, 23220, 8049.87037037037, 63824822.39177238, 128346507.16666667
235, 12244, 12, 6870, 85, 1597, 572.5, 119986.75, 447743.0, 5, 284, 393, 4150585, 87, 23220, 10561.284987277353, 48165251.878069796, 159705992.4605598, 240, 12528, 405, 4157455, 85, 23220, 10265.32098765432, 48920592.81100622, 154987229.51358023
