addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 314, 157, 157, 157.0, 0.0, 24649.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 314, 157, 157, 157.0, 0.0, 24649.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0
0, 0, 1, 172, 172, 172, 172.0, 0.0, 29584.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 172, 172, 172, 172.0, 0.0, 29584.0
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0
0, 0, 2, 344, 172, 172, 172.0, 0.0, 29584.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 344, 172, 172, 172.0, 0.0, 29584.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0
4, 224, 5, 1667, 157, 569, 333.4, 37195.44, 148351.0, 4, 224, 0, 0, 0, 0, 0, 0, 0, 8, 448, 5, 1667, 157, 569, 333.4, 37195.439999999995, 148351.0
21, 1092, 17, 2761, 83, 592, 162.41176470588235, 18382.242214532875, 44759.82352941176, 15, 780, 30, 52352, 83, 5724, 1745.0666666666666, 3351644.1288888888, 6396901.8, 36, 1872, 47, 55113, 83, 5724, 1172.6170212765958, 3046643.73418789, 4099318.5319148935
12, 640, 8, 1790, 74, 569, 223.75, 41112.9375, 91177.0, 7, 380, 15, 17736, 83, 4023, 1182.4, 1652344.24, 3050414.0, 19, 1020, 23, 19526, 74, 4023, 848.9565217391304, 1465881.6648199449, 2021114.1739130435
10, 520, 7, 1295, 83, 438, 185.0, 11806.857142857143, 46031.857142857145, 4, 208, 16, 37047, 83, 5724, 2315.4375, 3044856.62109375, 8406107.4375, 14, 728, 23, 38342, 83, 5724, 1667.0434782608695, 3168893.7922419454, 5861736.608695652
6, 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19674, 1027, 5724, 2459.25, 2325460.1875, 8373370.75, 6, 312, 8, 19674, 1027, 5724, 2459.25, 2325460.1875, 8373370.75
9, 468, 2, 291, 91, 200, 145.5, 2970.25, 24140.5, 1, 52, 9, 24234, 91, 5724, 2692.6666666666665, 3418482.0, 10668935.777777778, 10, 520, 11, 24525, 91, 5724, 2229.5454545454545, 3660856.0474999994, 8733518.454545455
0, 0, 2, 357, 157, 200, 178.5, 462.25, 32324.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 357, 157, 200, 178.5, 462.25, 32324.5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
56, 2924, 16, 7729, 83, 1548, 483.0625, 190358.80859375, 423708.1875, 15, 804, 51, 211954, 287, 10188, 4155.9607843137255, 5059951.645520954, 22331961.68627451, 71, 3728, 67, 219683, 83, 10188, 3278.8507462686566, 5980821.038853778, 17100139.95522388
138, 7176, 10, 2687, 70, 1538, 268.7, 180606.40999999997, 252806.1, 4, 208, 146, 1220284, 83, 23220, 8358.109589041096, 39819956.303058736, 109677952.20547946, 142, 7384, 156, 1222971, 70, 23220, 7839.557692307692, 40602484.723093286, 102663519.76282051
20, 1036, 8, 1579, 83, 569, 197.375, 29465.234375, 68422.125, 8, 424, 22, 78285, 83, 5724, 3558.409090909091, 4796395.51446281, 17458670.772727273, 28, 1460, 30, 79864, 83, 5724, 2662.133333333333, 5533578.45081361, 12821271.133333333
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 216, 7, 1585, 68, 569, 226.42857142857142, 36964.24489795918, 88234.14285714286, 6, 320, 4, 3581, 83, 2728, 895.25, 1165362.6875, 1966835.25, 10, 536, 11, 5166, 68, 2728, 469.6363636363636, 750110.248888889, 771361.8181818182
3, 156, 5, 1997, 87, 1501, 399.4, 306211.83999999997, 465732.2, 3, 156, 7, 16811, 91, 13342, 2401.5714285714284, 20177494.530612253, 25945039.85714286, 6, 312, 12, 18808, 87, 13342, 1567.3333333333333, 15725518.005540164, 15328661.666666666
37, 1924, 5, 2679, 91, 1512, 535.8, 305646.96, 592728.6, 5, 260, 92, 1026131, 83, 24668, 11153.597826086956, 58474485.588256165, 182877230.0543478, 42, 2184, 97, 1028810, 83, 24668, 10606.288659793814, 59839202.917499505, 173481121.73195878
0, 0, 1, 68, 68, 68, 68.0, 0.0, 4624.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68, 68, 68, 68.0, 0.0, 4624.0
0, 0, 9, 9894, 91, 2788, 1099.3333333333333, 1450977.111111111, 2659510.888888889, 2, 104, 1, 131, 131, 131, 131.0, 0.0, 17161.0, 2, 104, 10, 10025, 91, 2788, 1002.5, 1326651.1074380165, 2395275.9
2, 104, 7, 17382, 91, 4156, 2483.1428571428573, 1306098.9795918367, 7472097.428571428, 24, 1248, 4, 462, 83, 174, 115.5, 1270.25, 14610.5, 26, 1352, 11, 17844, 83, 4156, 1622.1818181818182, 2005394.9066666667, 4760284.0
1, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 40, 1, 68, 68, 68, 68.0, 0.0, 4624.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 1, 68, 68, 68, 68.0, 0.0, 4624.0
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
1, 52, 3, 389, 87, 211, 129.66666666666666, 3310.222222222222, 20123.666666666668, 3, 156, 3, 317, 83, 143, 105.66666666666667, 707.5555555555555, 11873.0, 4, 208, 6, 706, 83, 211, 117.66666666666667, 1703.1111111111109, 15998.333333333334
8, 424, 12, 3415, 83, 752, 284.5833333333333, 52061.07638888888, 133048.75, 12, 632, 11, 4804, 83, 2696, 436.72727272727275, 556217.4710743801, 746948.1818181818, 20, 1056, 23, 8219, 83, 2696, 357.3478260869565, 383566.2638408305, 426652.82608695654
6, 300, 5, 630, 68, 195, 126.0, 2811.2, 18687.2, 3, 156, 7, 1144, 83, 539, 163.42857142857142, 23849.67346938776, 50558.57142857143, 9, 456, 12, 1774, 68, 539, 147.83333333333334, 18584.87534626039, 37278.833333333336
4, 184, 2, 248, 91, 157, 124.0, 1089.0, 16465.0, 1, 52, 4, 528, 83, 183, 132.0, 2051.0, 19475.0, 5, 236, 6, 776, 83, 183, 129.33333333333334, 1868.8400000000001, 18471.666666666668
