addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 383, 157, 226, 191.5, 1190.25, 37862.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 383, 157, 226, 191.5, 1190.25, 37862.5
0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 6, 871, 71, 200, 145.16666666666666, 2772.4722222222226, 23845.833333333332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 871, 71, 200, 145.16666666666666, 2772.4722222222226, 23845.833333333332
25, 1316, 16, 3596, 83, 590, 224.75, 35444.6875, 85957.25, 15, 796, 33, 48751, 83, 5724, 1477.3030303030303, 2630948.999081726, 4813373.242424242, 40, 2112, 49, 52347, 83, 5724, 1068.3061224489795, 2370902.185603807, 3269727.2040816327
14, 752, 7, 2081, 76, 569, 297.2857142857143, 55489.3469387755, 143868.14285714287, 7, 388, 11, 21278, 83, 5724, 1934.3636363636363, 4112244.776859505, 7854007.454545454, 21, 1140, 18, 23359, 76, 5724, 1297.7222222222222, 3623781.4744351963, 4855619.944444444
2, 104, 7, 3122, 157, 2042, 446.0, 424711.14285714284, 623627.1428571428, 2, 104, 4, 7596, 103, 3695, 1899.0, 3225616.0, 6831817.0, 4, 208, 11, 10718, 103, 3695, 974.3636363636364, 2443983.528888889, 2881150.727272727
2, 104, 0, 0, 0, 0, 0, 0, 0, 1, 52, 1, 1096, 1096, 1096, 1096.0, 0.0, 1201216.0, 3, 156, 1, 1096, 1096, 1096, 1096.0, 0.0, 1201216.0
0, 0, 1, 900, 900, 900, 900.0, 0.0, 810000.0, 0, 0, 1, 324, 324, 324, 324.0, 0.0, 104976.0, 0, 0, 2, 1224, 324, 900, 612.0, 73728.0, 457488.0
0, 0, 3, 552, 157, 200, 184.0, 368.6666666666667, 34224.666666666664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 552, 157, 200, 184.0, 368.6666666666667, 34224.666666666664
0, 0, 1, 900, 900, 900, 900.0, 0.0, 810000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 900, 900, 900, 900.0, 0.0, 810000.0
1, 40, 3, 2351, 68, 2088, 783.6666666666666, 853330.888888889, 1467464.3333333333, 1, 52, 0, 0, 0, 0, 0, 0, 0, 2, 92, 3, 2351, 68, 2088, 783.6666666666666, 853330.888888889, 1467464.3333333333
4, 196, 3, 1272, 172, 900, 424.0, 113418.66666666667, 293194.6666666667, 0, 0, 3, 7443, 1547, 2948, 2481.0, 436178.0, 6591539.0, 4, 196, 6, 8715, 172, 2948, 1452.5, 1268869.1111111112, 3442366.8333333335
4, 216, 6, 3069, 68, 2167, 511.5, 579839.5833333334, 841471.8333333334, 4, 228, 5, 4452, 106, 3545, 890.4, 1773293.44, 2566105.6, 8, 444, 11, 7521, 68, 3545, 683.7272727272727, 1359396.33984375, 1625396.2727272727
18, 936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 51162, 997, 5489, 2842.3333333333335, 801040.4444444445, 8879899.222222222, 18, 936, 18, 51162, 997, 5489, 2842.3333333333335, 801040.4444444445, 8879899.222222222
6, 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16418, 1500, 3126, 2736.3333333333335, 309928.55555555556, 7797448.666666667, 6, 312, 6, 16418, 1500, 3126, 2736.3333333333335, 309928.55555555556, 7797448.666666667
3, 152, 8, 14813, 78, 2948, 1851.625, 1227495.734375, 4656010.875, 1, 60, 1, 275, 275, 275, 275.0, 0.0, 75625.0, 4, 212, 9, 15088, 78, 2948, 1676.4444444444443, 1379716.01, 4147079.111111111
29, 1537, 22, 12408, 76, 2948, 564.0, 451629.36363636365, 769725.3636363636, 17, 924, 30, 53210, 103, 5194, 1773.6666666666667, 2981330.822222221, 6127224.266666667, 46, 2461, 52, 65618, 76, 5194, 1261.8846153846155, 2589892.0826888755, 3860590.1153846155
4, 208, 10, 17652, 65, 2948, 1765.2, 1497505.36, 4613436.4, 7, 364, 5, 9679, 103, 3744, 1935.8, 2219280.5599999996, 5966602.2, 11, 572, 15, 27331, 65, 3744, 1822.0666666666666, 1865669.05, 5064491.666666667
25, 1308, 5, 1706, 68, 868, 341.2, 104080.55999999998, 220498.0, 5, 268, 27, 181639, 101, 20324, 6727.37037037037, 40884117.71467763, 86141629.81481482, 30, 1576, 32, 183345, 68, 20324, 5729.53125, 40591484.98822177, 72716452.96875
31, 1628, 7, 4303, 116, 935, 614.7142857142857, 115155.3469387755, 493029.0, 4, 224, 31, 114613, 292, 19500, 3697.1935483870966, 17698267.704474505, 31367507.83870968, 35, 1852, 38, 118916, 116, 19500, 3129.3684210526317, 16780621.235034656, 25680103.842105262
490, 25512, 33, 38489, 102, 2948, 1166.3333333333333, 727761.797979798, 2088095.2424242424, 15, 812, 571, 5370142, 118, 23220, 9404.802101576182, 49312548.66661554, 137762851.2364273, 505, 26324, 604, 5408631, 102, 23220, 8954.687086092716, 49800706.519942775, 130350157.61423841
398, 20696, 32, 36730, 116, 2948, 1147.8125, 295758.77734375, 1613232.3125, 1, 52, 462, 4620840, 379, 26116, 10001.818181818182, 62565543.84573004, 162601910.78787878, 399, 20748, 494, 4657570, 116, 26116, 9428.27935222672, 63017412.77049159, 152173494.36842105
279, 14520, 22, 20696, 195, 1031, 940.7272727272727, 38427.19834710742, 923395.0, 7, 364, 451, 4342489, 135, 27564, 9628.578713968958, 51381049.51209679, 144090577.5631929, 286, 14884, 473, 4363185, 135, 27564, 9224.492600422833, 51912931.10625269, 137431638.83932346
447, 23276, 16, 15847, 116, 2917, 990.4375, 336518.87109375, 1317485.3125, 2, 112, 715, 6900761, 363, 26116, 9651.413986013986, 56266847.9544897, 149416639.88391608, 449, 23388, 731, 6916608, 116, 26116, 9461.844049247606, 56468808.34868211, 146175071.52120382
199, 10372, 21, 22557, 191, 2917, 1074.142857142857, 426554.2176870746, 1580337.0952380951, 9, 484, 278, 2626450, 461, 27564, 9447.661870503596, 63099326.51876197, 152357641.3381295, 208, 10856, 299, 2649007, 191, 27564, 8859.555183946488, 63277341.4713107, 141767931.00668895
244, 12688, 27, 47230, 103, 2948, 1749.2592592592594, 1276283.8216735255, 4336191.777777778, 15, 788, 291, 2849508, 197, 26116, 9792.123711340206, 57371969.86098417, 153257656.63917527, 259, 13476, 317, 2896635, 103, 26116, 9137.649842271294, 57577038.730347015, 141056923.18927446
1, 52, 0, 0, 0, 0, 0, 0, 0, 3, 156, 1, 4712, 4712, 4712, 4712.0, 0.0, 22202944.0, 4, 208, 1, 4712, 4712, 4712, 4712.0, 0.0, 22202944.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
