addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
2, 104, 0, 0, 0, 0, 0, 0, 0, 2, 104, 0, 0, 0, 0, 0, 0, 0, 4, 208, 0, 0, 0, 0, 0, 0, 0
3, 156, 0, 0, 0, 0, 0, 0, 0, 7, 364, 3, 324, 108, 108, 108.0, 0.0, 11664.0, 10, 520, 3, 324, 108, 108, 108.0, 0.0, 11664.0
2, 104, 0, 0, 0, 0, 0, 0, 0, 2, 104, 1, 108, 108, 108, 108.0, 0.0, 11664.0, 4, 208, 1, 108, 108, 108, 108.0, 0.0, 11664.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 104, 0, 0, 0, 0, 0, 0, 0, 2, 104, 1, 76, 76, 76, 76.0, 0.0, 5776.0, 4, 208, 1, 76, 76, 76, 76.0, 0.0, 5776.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 804, 11, 5811, 72, 2174, 528.2727272727273, 471024.0165289256, 750096.0909090909, 9, 492, 10, 2931, 83, 706, 293.1, 29533.089999999997, 115440.7, 24, 1296, 21, 8742, 72, 2174, 416.2857142857143, 198852.3121748179, 447879.2380952381
6, 320, 9, 2143, 72, 651, 238.11111111111111, 43931.209876543224, 100628.11111111111, 4, 216, 7, 1951, 122, 665, 278.7142857142857, 29833.0612244898, 107514.71428571429, 10, 536, 16, 4094, 72, 665, 255.875, 35742.404536862, 103641.0
20, 1056, 25, 7599, 81, 683, 303.96, 51468.678400000004, 143860.36, 16, 840, 37, 28535, 83, 4236, 771.2162162162163, 778965.8451424396, 1373740.2972972973, 36, 1896, 62, 36134, 81, 4236, 582.8064516129032, 636465.2839506172, 877820.9677419355
48, 2528, 45, 15814, 81, 2233, 351.4222222222222, 155572.77728395062, 279070.35555555555, 29, 1540, 61, 18814, 83, 1339, 308.42622950819674, 103523.12980381618, 198649.868852459, 77, 4068, 106, 34628, 81, 2233, 326.6792452830189, 117912.39506615509, 232790.64150943398
17, 900, 18, 5476, 83, 675, 304.22222222222223, 48551.06172839506, 141102.22222222222, 20, 1056, 24, 16231, 83, 2948, 676.2916666666666, 760679.2899305556, 1218049.7083333333, 37, 1956, 42, 21707, 83, 2948, 516.8333333333334, 593920.8154269973, 756500.7857142857
245, 12756, 26, 11936, 71, 1816, 459.0769230769231, 240497.1479289941, 451248.76923076925, 17, 919, 435, 4569855, 83, 23220, 10505.413793103447, 47856909.12532699, 158220628.08965516, 262, 13675, 461, 4581791, 71, 23220, 9938.809110629067, 49318937.07955497, 149322571.989154
66, 3432, 6, 3065, 91, 1217, 510.8333333333333, 169024.47222222225, 429975.1666666667, 3, 156, 116, 1342525, 91, 24356, 11573.491379310344, 44117492.991305, 178063195.69827586, 69, 3588, 122, 1345590, 91, 24356, 11029.426229508197, 46017039.13899089, 169327135.67213115
10, 544, 4, 1776, 79, 689, 444.0, 52225.0, 249361.0, 2, 112, 8, 1932, 87, 535, 241.5, 19425.0, 77747.25, 12, 656, 12, 3708, 79, 689, 309.0, 32546.0, 134951.83333333334
8, 424, 8, 3145, 138, 766, 393.125, 54469.609375, 209016.875, 4, 232, 5, 16607, 103, 5546, 3321.4, 5034390.24, 16066088.2, 12, 656, 13, 19752, 103, 5546, 1519.3846153846155, 4938325.385802469, 6307890.461538462
