addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0
0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0
0, 0, 2, 225, 68, 157, 112.5, 1980.25, 14636.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 225, 68, 157, 112.5, 1980.25, 14636.5
1, 40, 1, 226, 226, 226, 226.0, 0.0, 51076.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 1, 226, 226, 226, 226.0, 0.0, 51076.0
1, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 0, 0, 0, 0, 0, 0, 0
0, 0, 2, 225, 68, 157, 112.5, 1980.25, 14636.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 225, 68, 157, 112.5, 1980.25, 14636.5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 112, 4, 916, 71, 569, 229.0, 41203.5, 93644.5, 2, 112, 1, 87, 87, 87, 87.0, 0.0, 7569.0, 4, 224, 5, 1003, 71, 569, 200.6, 31949.888888888894, 76429.4
30, 1576, 19, 3991, 83, 612, 210.05263157894737, 32878.78670360111, 77000.8947368421, 15, 796, 42, 66500, 83, 5724, 1583.3333333333333, 2894999.1746031744, 5401943.619047619, 45, 2372, 61, 70491, 83, 5724, 1155.5901639344263, 2650746.8057309827, 3743354.901639344
11, 576, 12, 2952, 83, 569, 246.0, 31762.833333333332, 92278.83333333333, 12, 640, 8, 11301, 83, 3834, 1412.625, 1819493.484375, 3815002.875, 23, 1216, 20, 14253, 83, 3834, 712.65, 1386632.7295918367, 1581368.45
24, 1236, 3, 463, 91, 200, 154.33333333333334, 2136.222222222222, 25955.0, 1, 52, 24, 46686, 83, 5724, 1945.25, 2590268.9375, 6374266.5, 25, 1288, 27, 47149, 83, 5724, 1746.2592592592594, 2615597.1864667437, 5668898.555555556
0, 0, 2, 263, 68, 195, 131.5, 4032.25, 21324.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 263, 68, 195, 131.5, 4032.25, 21324.5
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
9, 468, 4, 643, 91, 200, 160.75, 1898.1875, 27738.75, 1, 52, 9, 26962, 91, 5724, 2995.777777777778, 3254750.3950617285, 12229434.888888888, 10, 520, 13, 27605, 91, 5724, 2123.4615384615386, 3858966.398760331, 8475066.846153846
1, 60, 3, 360, 68, 200, 120.0, 3296.0, 17696.0, 0, 0, 1, 84, 84, 84, 84.0, 0.0, 7056.0, 1, 60, 4, 444, 68, 200, 111.0, 2288.64, 15036.0
71, 3708, 19, 8009, 68, 1491, 421.5263157894737, 172868.45983379503, 350552.8947368421, 15, 804, 74, 379453, 83, 17428, 5127.743243243243, 12842350.43407597, 39136101.2027027, 86, 4512, 93, 387462, 68, 17428, 4166.258064516129, 13634105.361827245, 31212171.97849462
