addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
2, 104, 0, 0, 0, 0, 0, 0, 0, 2, 104, 0, 0, 0, 0, 0, 0, 0, 4, 208, 0, 0, 0, 0, 0, 0, 0
17, 908, 7, 3111, 72, 1399, 444.42857142857144, 209835.67346938775, 407352.4285714286, 7, 388, 7, 2307, 164, 707, 329.57142857142856, 28189.38775510204, 136806.7142857143, 24, 1296, 14, 5418, 72, 1399, 387.0, 91669.74149659862, 272079.5714285714
6, 320, 9, 2144, 72, 651, 238.22222222222223, 43995.50617283951, 100745.33333333333, 5, 268, 11, 9620, 122, 3329, 874.5454545454545, 948150.9752066116, 1712980.7272727273, 11, 588, 20, 11764, 72, 3329, 588.2, 769079.4464099896, 987474.8
29, 1532, 35, 12167, 83, 1986, 347.62857142857143, 133588.34775510206, 254433.9714285714, 25, 1324, 41, 22997, 83, 3190, 560.9024390243902, 422678.1368233194, 737289.6829268293, 54, 2856, 76, 35164, 83, 3190, 462.6842105263158, 345734.7074293229, 514921.9210526316
42, 2216, 47, 15459, 83, 1437, 328.9148936170213, 88830.75871435038, 197015.7659574468, 35, 1852, 58, 13550, 83, 1274, 233.6206896551724, 61810.959571938176, 116389.58620689655, 77, 4068, 105, 29009, 83, 1437, 276.2761904761905, 71465.37686777824, 152479.4
11, 588, 12, 2124, 81, 569, 177.0, 20694.333333333332, 52023.333333333336, 10, 528, 27, 21056, 83, 4478, 779.8518518518518, 1118861.1632373114, 1727030.0740740742, 21, 1116, 39, 23180, 81, 4478, 594.3589743589744, 973258.4866850323, 1211643.3846153845
161, 8396, 25, 16056, 73, 1816, 642.24, 218748.50240000003, 631220.72, 15, 812, 219, 2268590, 83, 23220, 10358.858447488585, 50872960.55987156, 158178908.89497718, 176, 9208, 244, 2284646, 73, 23220, 9363.303278688525, 52960465.17260425, 142036727.7295082
48, 2496, 4, 1946, 178, 749, 486.5, 43562.25, 280244.5, 2, 104, 58, 528081, 87, 23220, 9104.844827586207, 52624640.855231866, 135522840.18965518, 50, 2600, 62, 530027, 87, 23220, 8548.822580645161, 53265271.74555556, 126797511.43548387
59, 3092, 7, 3935, 79, 1224, 562.1428571428571, 133496.97959183675, 449501.5714285714, 2, 104, 73, 855205, 103, 20324, 11715.13698630137, 46370447.84424846, 183614882.4520548, 61, 3196, 80, 859140, 79, 20324, 10739.25, 49685671.38160536, 167587911.625
47, 2452, 7, 4605, 178, 1566, 657.8571428571429, 155964.1224489796, 588740.1428571428, 5, 284, 113, 1246720, 346, 21772, 11032.920353982301, 45016818.551178634, 166742150.08849558, 52, 2736, 120, 1251325, 178, 21772, 10427.708333333334, 46805790.353625976, 157049867.84166667
4, 208, 5, 1870, 178, 767, 374.0, 61544.4, 201420.4, 1, 60, 4, 16741, 103, 5546, 4185.25, 5554921.6875, 23071239.25, 5, 268, 9, 18611, 103, 5546, 2067.8888888888887, 6880102.390532544, 10365784.333333334
16, 832, 5, 5466, 577, 1967, 1093.2, 344797.75999999995, 1539884.0, 2, 104, 24, 136305, 103, 17699, 5679.375, 33526017.567708332, 65781317.958333336, 18, 936, 29, 141771, 103, 17699, 4888.6551724137935, 32192766.240655046, 54705208.655172415
46, 2392, 10, 3937, 87, 1250, 393.7, 111931.00999999998, 266930.7, 6, 312, 198, 1536355, 83, 23494, 7759.368686868687, 50662538.93982756, 110870341.35858586, 52, 2704, 208, 1540292, 83, 23494, 7405.25, 50720819.34954136, 105552869.6923077
5, 260, 4, 1298, 91, 678, 324.5, 61722.25, 167022.5, 4, 208, 8, 1340, 83, 473, 167.5, 14686.75, 42743.0, 9, 468, 12, 2638, 83, 678, 219.83333333333334, 28037.69000000001, 84169.5
7, 364, 2, 1154, 577, 577, 577.0, 0.0, 332929.0, 0, 0, 14, 132482, 301, 17428, 9463.0, 34755872.571428575, 124304241.57142857, 7, 364, 16, 133636, 301, 17428, 8352.25, 37351943.04, 108807827.5
53, 2756, 5, 3777, 577, 1231, 755.4, 59382.64, 630011.8, 0, 0, 146, 1416898, 217, 19315, 9704.780821917808, 47572432.486207545, 141755203.28767124, 53, 2756, 151, 1420675, 217, 19315, 9408.443708609271, 48098190.514732055, 137082183.70198676
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 572, 4, 2306, 576, 577, 576.5, 0.25, 332352.5, 0, 0, 41, 314426, 1500, 17428, 7668.926829268293, 32805579.28732897, 91618018.0, 11, 572, 45, 316732, 576, 17428, 7038.488888888889, 33510569.393185504, 83503736.62222221
14, 728, 3, 2483, 576, 1222, 827.6666666666666, 79729.55555555556, 764761.6666666666, 0, 0, 39, 135160, 268, 18876, 3465.641025641026, 20320947.204470742, 32331614.923076924, 14, 728, 42, 137643, 268, 18876, 3277.214285714286, 19819464.00853528, 30076839.69047619
81, 4212, 4, 2304, 576, 576, 576.0, 0.0, 331776.0, 0, 0, 97, 1088925, 301, 23220, 11226.030927835052, 50471553.80316718, 176495324.1958763, 81, 4212, 101, 1091229, 301, 23220, 10804.247524752474, 51697012.95500459, 169518550.009901
0, 0, 1, 796, 796, 796, 796.0, 0.0, 633616.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 796, 796, 796, 796.0, 0.0, 633616.0
2, 104, 2, 1321, 634, 687, 660.5, 702.25, 436962.5, 0, 0, 3, 608, 87, 301, 202.66666666666666, 7782.88888888889, 48856.666666666664, 2, 104, 5, 1929, 87, 687, 385.8, 45314.859375, 204099.0
68, 3536, 2, 1152, 576, 576, 576.0, 0.0, 331776.0, 1, 52, 190, 885577, 301, 20324, 4660.9315789473685, 30321662.737423826, 52045945.921052635, 69, 3588, 192, 886729, 301, 20324, 4618.380208333333, 30249817.912940975, 51507256.651041664
111, 5772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450, 1071892, 269, 23220, 2381.9822222222224, 10520542.968572836, 16194382.275555555, 111, 5772, 450, 1071892, 269, 23220, 2381.9822222222224, 10520542.968572836, 16194382.275555555
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 364, 3, 1728, 576, 576, 576.0, 0.0, 331776.0, 1, 52, 33, 267370, 1500, 17428, 8102.121212121212, 34994330.40955005, 100638698.54545455, 8, 416, 36, 269098, 576, 17428, 7474.944444444444, 35828480.52593993, 92279788.33333333
10, 520, 6, 2916, 91, 1251, 486.0, 139019.33333333334, 375215.3333333333, 3, 156, 37, 308386, 87, 26116, 8334.756756756757, 65667486.99488677, 135135657.1891892, 13, 676, 43, 311302, 87, 26116, 7239.581395348837, 65026558.84000001, 116331874.60465117
3, 156, 5, 968, 87, 434, 193.6, 19061.44, 56542.4, 5, 260, 7, 1445, 83, 531, 206.42857142857142, 23387.387755102038, 66000.14285714286, 8, 416, 12, 2413, 83, 531, 201.08333333333334, 22280.891966759, 62059.416666666664
6, 312, 4, 1819, 91, 576, 454.75, 44104.6875, 250902.25, 1, 52, 15, 133211, 83, 18844, 8880.733333333334, 44960427.79555556, 123827852.33333333, 7, 364, 19, 135030, 83, 18844, 7106.8421052631575, 47046105.540657446, 97811652.31578948
11, 572, 1, 576, 576, 576, 576.0, 0.0, 331776.0, 2, 104, 35, 294244, 76, 20324, 8406.971428571429, 48525690.65632652, 119202859.25714286, 13, 676, 36, 294820, 76, 20324, 8189.444444444444, 48693785.0640746, 115900884.72222222
4, 208, 0, 0, 0, 0, 0, 0, 0, 1, 52, 3, 459, 83, 293, 153.0, 9800.0, 33209.0, 5, 260, 3, 459, 83, 293, 153.0, 9800.0, 33209.0
13, 676, 3, 1728, 576, 576, 576.0, 0.0, 331776.0, 3, 156, 21, 132863, 1500, 16465, 6326.809523809524, 18131508.82086168, 58160027.571428575, 16, 832, 24, 134591, 576, 16465, 5607.958333333333, 18980543.088395063, 50931496.125
12, 624, 1, 577, 577, 577, 577.0, 0.0, 332929.0, 1, 52, 145, 1065267, 841, 23220, 7346.668965517241, 44985385.849036865, 98958930.73793103, 13, 676, 146, 1065844, 577, 23220, 7300.301369863014, 44987741.67749555, 98283410.1780822
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 312, 2, 1154, 577, 577, 577.0, 0.0, 332929.0, 0, 0, 21, 133121, 1500, 17428, 6339.0952380952385, 25093390.37188209, 65277518.809523806, 6, 312, 23, 134275, 577, 17428, 5838.04347826087, 25393353.14876033, 59630163.17391305
53, 2756, 2, 1154, 577, 577, 577.0, 0.0, 332929.0, 2, 104, 136, 1383519, 269, 23220, 10172.933823529413, 53824223.87062067, 157312806.44852942, 55, 2860, 138, 1384673, 269, 23220, 10033.86231884058, 54098571.25078587, 155037735.76086956
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 208, 2, 1154, 577, 577, 577.0, 0.0, 332929.0, 0, 0, 15, 132352, 2338, 17428, 8823.466666666667, 25214486.38222222, 103068050.4, 4, 208, 17, 133506, 577, 17428, 7853.294117647059, 27623202.80859375, 90981565.52941176
158, 8216, 2, 1154, 577, 577, 577.0, 0.0, 332929.0, 0, 0, 747, 1689568, 1161, 23220, 2261.8045515394915, 3787229.014008734, 8902988.843373494, 158, 8216, 749, 1690722, 577, 23220, 2257.305740987984, 3785955.6750890072, 8880104.838451268
2, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 376, 83, 293, 188.0, 11025.0, 46369.0, 2, 104, 2, 376, 83, 293, 188.0, 11025.0, 46369.0
3, 156, 2, 1154, 577, 577, 577.0, 0.0, 332929.0, 0, 0, 8, 66176, 2948, 17428, 8272.0, 32500606.75, 100926590.75, 3, 156, 10, 67330, 577, 17428, 6733.0, 34737628.222222224, 80807858.4
47, 2444, 2, 1154, 577, 577, 577.0, 0.0, 332929.0, 1, 52, 155, 1387802, 198, 18876, 8953.561290322581, 45814644.31075963, 125980904.09032258, 48, 2496, 157, 1388956, 198, 18876, 8846.853503184713, 45967864.488288954, 124380292.94267516
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 104, 1, 577, 577, 577, 577.0, 0.0, 332929.0, 0, 0, 7, 66210, 2948, 20324, 9458.57142857143, 40357095.387755096, 129821668.85714285, 2, 104, 8, 66787, 577, 20324, 8348.375, 42574855.048888884, 113635576.375
21, 1236, 57, 5498, 72, 577, 96.45614035087719, 8404.03755001539, 17707.824561403508, 0, 0, 91, 797398, 1500, 18876, 8762.615384615385, 42085003.86306002, 118868432.24175824, 21, 1236, 148, 802896, 72, 18876, 5424.972972972973, 45689666.02317887, 73094842.43243243
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
